Acelgas,espinacas,6.6
Alfombra,esterilla,6.5
AtÌ¼n,lubina,6.9
AzÌ¼car,canela,5.6
Barco,canoa,6.9
Barro,tierra,7.1
Botella,jarra,6.4
BÌ¼ho,ÌÁguila,5.4
Burro,caballo,6.5
CalabacÌ_n,pepino,4.9
Calcetines,medias,6.7
Calle,camino,6.3
Cama,sofÌÁ,6.8
Cerdo,jabalÌ_,7.3
Cerilla,mechero,7.1
ColchÌ_n,cojÌ_n,6.2
Cordero,cabra,6.1
Cubo,barreÌ±o,7.1
Cuchillo,espada,5.8
Ensalada,escalivada,5.7
Fresa,cereza,6.4
Garbanzos,lentejas,7.5
Galleta,pastel,6.3
GorriÌ_n,golondrina,7
Guisante,judÌ_a,5.9
Gusano,angula,5.1
Hielo,granizo,6.8
Hilo,lana,6
JamÌ_n,salchichÌ_n,6.6
Lagartija,lagarto,7.4
Lata,bote,7.3
Lavadora,lavaplatos,7
Lechuga,col,6.8
Lluvia,nieve,6.7
Madera,corcho,5.9
Manzana,naranja,6.8
Mariposa,polilla,5.1
MejillÌ_n,almeja,6.8
MelocotÌ_n,ciruela,5.7
Merluza,lenguado,7
Mono,gorila,7.3
Muela,colmillo,7.8
MuÌ±eca,marioneta,6.4
Naranjo,limonero,6.8
Paloma,gaviota,7.6
PaÌ±uelo,bufanda,5.7
Pato,ganso,6.6
Peca,verruga,5.1
Pendiente,anillo,5.4
Perejil,tomillo,5.7
Perro,hiena,5.1
Pimiento,berenjena,6.2
Pulpo,calamar,6.7
Queso,cuajada,4.8
Rana,salamandra,4.6
Rodilla,codo,5.4
SÌÁbana,colcha,6.7
Servilleta,mantel,5.6
Silla,butaca,6.6
Sombrero,gorra,7.6
Techo,tejado,7.2
TelevisiÌ_n,vÌ_deo,6.2
TiburÌ_n,orca,5.2
Tijeras,alicates,7.2
Tormenta,huracÌÁn,7.2
Trigo,centeno,5.1
Uva,pasas,6.8
Vaso,taza,7.2
Ventana,puerta,4.9
Yegua,mula,6.5
Zanahoria,rÌÁbano,3.9
Zumo,batido,6.7
Acelgas,calabaza,4.2
Alfombra,parquÌ©,3.8
AtÌ¼n,foca,2.4
AzÌ¼car,harina,4.3
Barco,aviÌ_n,4.6
Barro,cÌ©sped,2.8
Botella,plato,4.5
BÌ¼ho,avestruz,5
Burro,oso,4.6
CalabacÌ_n,limÌ_n,4.2
Calcetines,baÌ±ador,5
Calle,tÌ¼nel,4
Cama,mesa,4.1
Cerdo,cebra,4
Cerilla,vela,4
ColchÌ_n,cortina,5.5
Cordero,ciervo,5.6
Cubo,escoba,3.2
Cuchillo,pistola,4.2
Ensalada,potaje,3.4
Fresa,nuez,2.8
Garbanzos,fideos,4.4
Galleta,canelones,4.1
GorriÌ_n,ardilla,4.4
Guisante,patata,4.8
Gusano,abeja,2.8
Hielo,niebla,6.1
Hilo,cadena,3.2
JamÌ_n,tortilla,4.2
Lagartija,ratÌ_n,3.6
Lata,bandeja,2.8
Lavadora,horno,4
Lechuga,champiÌ±Ì_n,4.2
Lluvia,tornado,5.4
Madera,cemento,3.6
Manzana,coliflor,4
Mariposa,pavo,2.8
MejillÌ_n,ballena,5.6
MelocotÌ_n,nabo,2.7
Merluza,sapo,3.8
Mono,vaca,5.1
Muela,cuerno,3.3
MuÌ±eca,puzzle,3.2
Naranjo,rosal,3.5
Paloma,delfÌ_n,3
PaÌ±uelo,guantes,2.9
Pato,tortuga,3.3
Peca,grano,4.2
Pendiente,reloj,3.5
Perejil,vainilla,2.9
Perro,buey,5.4
Pimiento,nÌ_spero,2.3
Pulpo,salmÌ_n,5.2
Queso,flan,4.1
Rana,serpiente,6.1
Rodilla,ojo,2.7
SÌÁbana,tapete,3.7
Servilleta,manta,3
Silla,estanterÌ_a,3.6
Sombrero,pantalones,4.5
Techo,pasillo,3.1
TelevisiÌ_n,radio,6.2
TiburÌ_n,cangrejo,4.5
Tijeras,destornillador,5.2
Tormenta,terremoto,5.2
Trigo,avellana,4.2
Uva,remolacha,6.2
Vaso,fuente,3.8
Ventana,armario,3.8
Yegua,elefante,4.4
Zanahoria,albaricoque,4.3
Zumo,aceite,4.3
