Renal failure,Kidney failure,4
Heart,Myocardium,3.3
Stroke,Infarct,3
Abortion,Miscarriage,3
Delusion,Schizophrenia,3
Congestive heart failure,Pulmonary edema,3
Metastasis,Adenocarcinoma,2.7
Calcification,Stenosis,2.7
Diarrhea,Stomach cramps,2.3
Mitral stenosis,Atrial fibrillation,2.3
Chronic obstructive pulmonary disease,Lung infiltrates,2.3
Rheumatoid arthritis,Lupus,2
Brain tumor,Intracranial hemorrhage,2
Carpel tunnel syndrome,Osteoarthritis,2
Diabetes mellitus,Hypertension,2
Acne,Syringe,2
Antibiotic,Allergy,1.7
Cortisone,Total knee replacement,1.7
Pulmonary embolus,Myocardial infarction,1.7
Pulmonary fibrosis,Lung cancer,1.7
Cholangiocarcinoma,Colonoscopy,1.3
Lymphoid hyperplasia,Laryngeal cancer,1.3
Multiple sclerosis,Psychosis,1
Appendicitis,Osteoporosis,1
Rectal polyp,Aorta,1
Xerostomia,Alcoholic cirrhosis,1
Peptic ulcer disease,Myopia,1
Depression,Cellulites,1
Varicose vein,Entire knee meniscus,1
Hyperlipidemia,Metastasis,1
