langCode	categoryNames	redirectNames	disambiguationCategoryNames	mainTemplates	mainInlines	seeAlsoTemplates	seeAlsoInlines	seeAlsoHeaders	topLevelCategoryNames	alternativeArticleNamespaces
en	Category	#REDIRECT	Disambiguation pages	\QMain\E	\QMain Article –\E	\QSee\E,\QSee also\E,\QFurther2\E,\Qseealso\E,\Qdetails\E,\QFurther\E	\QSee also\E	\QSee Also\E		
de	Category,Kategorie	#WEITERLEITUNG,#REDIRECT	Begriffsklärung	\QHauptartikel\E	\Q→ Hauptartikel\E,\QHauptartikel\E	\QSiehe auch\E	\QSiehe auch\E	\QSiehe auch\E		
fr	Category,Catégorie	#REDIRECT,#REDIRECTION	Homonymie	\QLoupe\E,\QArticle détaillé\E,\QArticle connexe\E,\Qloupe\E,\QPrincipal\E		\QVoir\E,\QVoir aussi\E		\QVoir aussi\E,\QVegeu també\E		
nl	Category,Categorie	#DOORVERWIJZING,#REDIRECT	Wikipedia:Doorverwijspagina	\QZie hoofdartikel\E		\QZie ook\E	\QZie ook\E	\QZie ook\E		
it	Category,Categoria	#RINVIO,#REDIRECT,#RINVIA,#RIMANDO	Disambigua		\QVedi anche\E	\Qvedi anche\E,\Qmain\E		\QVoci correlate\E		
pl	Category,Kategoria	#TAM,#PATRZ,#REDIRECT,#PRZEKIERUJ	Strony ujednoznaczniające	\QVer artigo principal\E,\Qkategoria główna\E,\Qmainsec\E,\Qmain\E		\QAnexo\E,\QDetails\E		\QZobacz też\E		
es	Categoría,Category	#REDIRECT,#REDIRECCION,#REDIRECCIÓN	Wikipedia:Desambiguación	\QAP\E	\QArtículo principal\E	\QVT\E	\QVéase\E,\QVéase también\E	\QVéase también\E		Anexo;104
ru	Category,Категория	#перенапр,#перенаправление,#REDIRECT	Многозначные термины	\Qосновная статья\E,\QMain\E,\Qmain\E	\QОсновная статья\E	\Qсмотри также\E,\QСм. также\E,\Qsee\E,\Qalso\E,\Qsee also\E	\QСм. также\E	\QСм. Также\E		
ja	カテゴリ,Category	＃リダイレクト,#REDIRECT,#転送,＃転送,#リダイレクト	曖昧さ回避	\Qmain2\E,\Qmain\E		\QSee also\E,\Qseealso\E,\Qsee\E		\Q関連項目\E,\Q參見\E		
pt	Category,Categoria	#REDIRECT,#REDIRECIONAMENTO	Desambiguação	\Qprincipal\E,\QVer artigo principal\E,\QAP\E,\QArtigo principal\E,\QMain\E	\QVer artigos principais\E	\QVertambém\E,\QAnexo\E,\Qver anexo\E,\QVer página anexa\E		\QVer também\E		Anexo;102
